VIN,Model,Report Date,Incident Date,Location,NHTSA Complaint,Details
5YJ3E1EA8KF****,2019 MODEL 3,1-Aug-19,26-Jul-19,"SAN JOSE, CA",11241215,"MY CAR WAS FIVE WEEKS OLD. WHILE I WAS DRIVING HOME ON MY COMMUTE I REALIZE THE SCREEN HAD FROZE, AND THEN SUDDENLY BLACKED OUT. I THOUGHT IT WAS A SOFTWARE UPDATE AS I AM A FAMILY THAT OWNS TESLA, BUT IT WASNT BECAUSE SUDDENLY THE ABILITY TO STEER AND BREAK OR COMPROMISED AND THE CAR HAD SPED WITHOUT ANY INDICATION AS TO WHY. I REPORTED IT TO TESLA AND THE EARLIEST THEY COULD SET FOR AN APPOINTMENT WITH SEVERAL WEEKS LATER. WITHIN ONE WEEK OF THIS INCIDENT INITIALLY OCCURRING, THIS HAPPENED AGAIN DURING TRAFFIC AND MY CAR INSTEAD OF BREAKING, INCREASED TREMENDOUSLY AND SMASHED INTO A CAR IN FRONT OF ME. I HAD CONTACTED. TESLA LETTING THEM KNOW THAT THE FIRST TIME THIS HAPPENED I WAS VERY LUCKY BECAUSE I WASNT ON THE HIGHWAY, BUT 95% OF MY COMMUTE IS ON MAJOR HIGHWAYS IN THE BAY AREA. I SAID THIS COULD BE DANGEROUS AND I REALLY THINK THIS NEEDS TO BE LOOKED UP FASTER, I GOT ZERO RESPONSE. SO WHEN THIS HAPPENED THERE WAS ABSOLUTELY NOTHING I COULD DO AND I ROLLED AND SPRAINED MY ANKLE VERY AGGRESSIVELY. NOT ONLY THAT BUT ALL OF THE AIRBAGS IN THE ENTIRE CAR MALFUNCTIONED EVEN THOUGH I WAS ABLE TO FOCUS THE BRUNT OF THE DAMAGE TO THE RIGHT FRONT. UNFORTUNATELY ONE OF THE BACK WINDOWS DIDNT OPEN NOR DID THE PASSENGER LOWER AIRBAG. THERE WAS NO ONE IN THE PASSENGER SEAT BUT IF THERE WAS THAT WOULD HAVE NOT GONE OFF AND THATS NOT OK. THERE WAS NO REASON FOR THIS TO HAPPEN AND THERE WERE NO UPDATES ON SOFTWARE THAT NEEDED TO HAPPEN AND THE CAR WAS FIVE WEEKS OLD. TESLA HAS REFUSED TO PROVIDE ME WITH THEIR DATA AND I HAVE AN SSD THAT SHOWS MY CAR SHUT DOWN."
Not Reported,2018 MODEL X,1-Mar-19,1-Feb-19,"PLEASANTON, CA",11183334,"WAS PARKING MY 2018 MODEL X ON FEB 1, 2019, IN MY DRIVEWAY. THE VEHICLE SUDDENLY ACCELERATED, HIT THE GARAGE DOOR(CLOSED. NO WARNING FROM SENSOR), WENT THROUGH GARAGE DOOR( VEHICLE DID NOT STOP AFTER HITTING THE GARAGE DOOR), DID NOT SENSE THINGS(LIKE WASHER, DRYER, WATER HEATER, WALL TO MY KITCHEN) IN THE GARAGE DOOR AND FINALLY SMASHED THE WASHER/DRYER BEFORE COMING TO STOP. WASHER/DRYER HIT THE WALL AND DAMAGE THE ENTIRE KITCHEN. NO AIRBAGS CAME OUT. MY WIFE WAS IN THE FRONT SEAT, MY DAUGHTER WAS IN THE BACKSEAT AND MY SON WAS INSIDE THE HOME WHEN IT HAPPENED."
5YJXCDE27JF****,2018 MODEL X,27-Nov-18,17-Nov-18,"SAN CLEMENTE, CA",11154380,"ON NOV 17, 2018 AT 4:50 PM, I WAS DRIVING MY TESLA X SLOWLY WITH AUTO PILOT OFF AND AUTO STEER OFF ON A SURFACE STREET IN SAN CLEMENTE, CA. I WAS TRYING TO DO A U TURN. I VERIFIED THAT THERE WAS NO TRAFFIC, THAT THERE WAS AN AREA WHERE CARS WERE NOT PARKED ON THE LEFT SIDE OF THE STREET AND COULD USE A PARKING DRIVEWAY ON THE RIGHT THAT WILL ALLOW MORE SPACE TO PERFORM THE U TURN. I GENTLY PRESSED THE BREAK TO FURTHER SLOWDOWN AND THEN VEERED A LITTLE TO THE RIGHT INTO THE DRIVEWAY AT LESS THAN 5 MPH. I STARTED TO TURN TO THE LEFT WHILE STILL GENTLY PRESSING THE BREAK. AS SOON AS THE FRONT RIGHT WHEEL LEFT THE DRIVEWAY AND BEFORE I HAD COMPLETED THE U TURN, THE TESLA ALL OF A SUDDEN, ON ITS OWN SPONTANEOUSLY ACCELERATED TO FULL POWER (A TESLA X CAN GO FROM 0-60 MILES IN APPROX. 4 SECONDS). MY FOOT WAS STILL ON THE BREAK, I DID NOT MOVE IT AND THEREFORE I DID NOT PRESS THE ACCELERATOR. THERE WERE NO OBJECTS OBSTRUCTING THE PEDALS. IN A SMALL FRACTION OF A SECOND, THE TESLA TRAVELED AT FULL SPEED TOWARDS THE TACOMA CAR PARKED AHEAD ON THE LEFT (LESS THAN 20 FEET). SOMETHING IN THE TESLA SYSTEM TRIGGERED THE SUDDEN SPONTANEOUS FULL ACCELERATION RESULTING IN THIS COLLISION. THE TESLA HAD MAJOR DAMAGE IN THE FRONT, THE AIR BAGS WERE DEPLOYED. I HAD A MAJOR BRUISE ON MY ABDOMEN AND SEVERAL SMALL BRUISES ON MY CHEST. THE TACOMA SUFFERED DAMAGE IN THE FRONT, MOVED BACKWARDS AND HIT THE CAR PARKED BEHIND IT. THERE WERE NO PASSENGERS IN THE OTHER VEHICLES. IT IS MY FIRM BELIEF THAT THIS ACCIDENT OCCURRED DUE NOT TO A DRIVERS ERROR BUT TO A TECHNOLOGICAL ERROR WITHIN THE TESLA VEHICLE. I FOUND MORE THAN 60 COMPLAINTS FOR SPONTANEOUS SUDDEN ACCELERATION FOR TESLA VEHICLES THAT HAVE BEEN FILED TO NHTSA. WHAT THESE COMPLAINTS HAVE IN COMMON ARE THAT VEHICLES ARE TRAVELING SLOWLY TRYING TO PARK OR MAKE TURNS AT LOW SPEED WHEN SUDDEN SPONTANEOUS FULL ACCELERATION WAS TRIGGERED."
5YJXCBE47JF****,2018 MODEL X,23-Oct-18,23-Oct-18,"TAMPA, FL",11142282,"WHILE IN A PARKING LOT AT LOW SPEED AND COMING AROUND A TURN TO PARK, TESLA SUDDENLY ACCELERATED FROM LOW SPEED TO HIGH SPEED HITTING A POLE. AIRBAGS DEPLOYED. SUDDEN ACCELERATION WAS WITHOUT WARNING. SEVERE DAMAGE TO CAR. LUCKILY NO PEDESTRIANS WERE NEARBY."
5YJXCBE27JF****,2018 MODEL X,15-Jul-18,14-Jul-18,"SEATTLE, WA",11111431,"WHEN SLOWLY PULLING INTO A PARKING SPOT, THE CAR ACCELERATED ON ITS OWN JUMPING THE CURB AND SLAMMED INTO A CHAIN LINK FENCE. I PRESSED THE BRAKE PEDAL BUT IT DIDNT RESPOND. MY TEN YEAR OLD CHILD WAS IN THE BACK SEAT AND THANKFULLY WE ARE BOTH UNHARMED. THIS IS THE SECOND INCIDENT OF THE CAR ACCELERATING ON ITS OWN. THE FIRST TIME THIS OCCURRED WAS DURING MY FIRST WEEK WITH THE CAR AND WHEN I WAS SLOWLY DRIVING AROUND A TRAFFIC CIRCLE IN A RESIDENTIAL AREA AND THE CAR TOOK OFF ON ITS OWN. NO DAMAGE OTHER THAN MISALIGNMENT THAT TIME BUT I WAS VERY SCARED AND CALLED TESLA SERVICE. IT TOOK SEVERAL WEEKS FOR THEM TO RESPOND WITH THE DATA REPORT FROM THE CAR AND SAID THAT THE VEHICLE INCREASED SPEED DUE TO THE DRIVER PRESSING THE ACCELERATOR. I ACCEPTED THEIR EXPLANATION AND ASSUMED THAT I WAS INDEED AT FAULT EVEN THOUGH I WAS POSITIVE THAT I DIDNT PRESS THE ACCELERATOR. IM INCREDIBLY SADDENED BY THIS SITUATION AS I TRULY LOVED THIS CAR BUT IM TOO FRIGHTENED TO DRIVE IT AGAIN. ITS CURRENTLY AT A BODY SHOP."
5YJXCDE2XJF****,2018 MODEL X,8-May-18,27-Apr-18,"TUSTIN, CA",11092528,"TL* THE CONTACT OWNS A 2018 TESLA MODEL X. WHILE PULLING INTO A PARKING SPACE, THE BRAKE PEDAL WAS DEPRESSED BUT THE VEHICLE INADVERTENTLY ACCELERATED OVER A CURB BEFORE CRASHING INTO A CEMENT LIGHT POLE. THE FRONT END OF THE VEHICLE WAS SEVERELY DAMAGED, AND THE AIR BAGS DID NOT DEPLOY. THE DRIVER SUSTAINED NECK, SHOULDER, AND CHEST INJURIES THAT REQUIRED MEDICAL ATTENTION. A POLICE REPORT WAS FILED. THE VEHICLE WAS TOWED TO A TOW YARD. ON SEVERAL OCCASIONS, PRIOR TO THE FAILURE, AN ERRONEOUS WARNING MESSAGE DISPLAYED WHILE DRIVING, INDICATING THAT THE VEHICLE WAS DRIVING TOO CLOSELY TO THE PRECEDING VEHICLE, EVEN THOUGH ANOTHER VEHICLE WAS NOWHERE IN THE VICINITY. THE CONTACT INDICATED THAT THE FAILURE OCCURRED ON MULTIPLE OCCASIONS, INCLUDING SHORTLY BEFORE THE CRASH. THE MANUFACTURER WAS NOTIFIED OF THE FAILURES. THE LOCAL DEALER WAS NOT CONTACTED FOR DIAGNOSTIC TESTING OR REPAIRS. THE FAILURE MILEAGE WAS 1,500"
5YJSA1E22JF****,2018 MODEL S,23-May-19,12-May-19,"MAPLE GROVE, MN",11209483,"THE CAR UNINTENDED ACCELERATED WHEN I PULLED INTO GARAGE AND WAIT FOR GARAGE DOOR OPEN. THE SUDDEN ACCELERATION IS TOTALLY OUT OF CONTROL, EVEN MY FOOT FIRMLY STEP ON THE BREAK PEDAL. THE ACCELERATED CAR WENT THROUGH THE GARAGE DOOR TOWARDS RIGHT, AND HIT AND LIFT THE OTHER PARKED SUV INSIDE THE GARAGE. THE SPEED AND FORCE PUSH THE SUV TOWARDS THE BACK OF GARAGE WALL, AND TOTALLY DAMAGED THE PART OF MY GARAGE."
5YJSA1E24JF****,2018 MODEL S,1-Jul-19,2-May-19,"PLYMOUTH, MN",11228597,"I DROVE TO WORK ON MAY 2, 2019, AND WAS TRYING TO PARK IN MY ALLOTTED PARKING STALL ON THE 3RD LEVEL OF MY OFFICE PARKING GARAGE. MY PARKING STALL WAS ALONG THE OUTER EDGE OF THE GARAGE AND THE ONLY BARRIER TO THE OUTSIDE WAS A SET OF THREE (ABOUT ¾ "" DIAMETER) CABLES STRUNG BETWEEN OUTSIDE COLUMNS OF THE GARAGE, BESIDES A THIN PERFORATED CORRUGATED METAL SHEET OUTSIDE THE CABLES, ACTING AS A RAIN STOP. I WAS TRYING TO SLOWLY TURN RIGHT FROM THE PARKING AISLE TO PARK BETWEEN TWO PICKUP TRUCKS ON EITHER SIDE OF MY STALL. WHEN I HAD TURNED PARTWAY INTO MY STALL, MY TESLA SUDDENLY ACCELERATED INTO MY PARKING STALL AT HIGH SPEED, HIT THE OUTSIDE CABLES, REBOUNDED BACKWARDS AND STOPPED ABOUT 10 FEET FROM THE OUTSIDE CABLES. THE CABLES SAVED ME FROM PLUNGING 3 FLOORS DOWN FROM THE GARAGE. THERE WAS EXTENSIVE DAMAGE TO THE HOOD AND FRONT PORTIONS OF MY TESLA. THERE WAS ALSO SOME DAMAGE TO THE METAL CORRUGATED SHEETS OUTSIDE THE CABLES AND A SLIGHT DENT ON THE CORNER OF THE VEHICLE PARKED TO MY RIGHT.
 
 I HAVE BEEN PARKING IN MY OFFICE PARKING STALL FOR ABOUT THE PAST SIX MONTHS WITHOUT ANY ISSUE LIKE THIS. I WANT TO KNOW WHY MY CAR ACCELERATED LIKE THAT WITHOUT WARNING AND WHY THE COLLISION WARNING SYSTEM WAS NOT TRIGGERED BY THE OUTSIDE CORRUGATED METAL SHEET. 
 
 ALSO, THERE WAS AN ISSUE WITH MY TESLA THE PREVIOUS EVENING. WHEN I TRIED TO START MY TESLA AFTER WORK, I GOT THE SYSTEMS ARE POWERING.. MESSAGE ON THE SCREEN AND MY CAR WOULD NOT START EVEN AFTER A LONG WAIT. THEN, I HAD TO GOOGLE TO FIND A WAY TO REBOOT THE CAR COMPUTER, BY PRESSING TWO BUTTONS ON THE STEERING WHEEL. ON THE DAY OF THE ACCIDENT, I USED THE INTERMITTENT RAIN SENSING WIPERS FOR THE FIRST TIME, AS THERE WAS A LIGHT RAIN.
 
 MY CAR IS STILL IN THE BODY SHOP WAITING FOR SOME BACK ORDERED PARTS. I HAVE ASKED TESLA TO DO A DIAGNOSTICS TO SEE IF THERE WERE ANY SOFTWARE BUGS IN THE SYSTEM."
5YJSA1E24JF****,2018 MODEL S,1-Mar-19,20-Feb-19,"PALO ALTO, CA",11183545,"TL* THE CONTACT OWNS A 2018 TESLA MODEL S. WHILE ATTEMPTING TO MAKE A LEFT TURN FROM A PARKING SPACE, THE VEHICLE ACCELERATED BACKWARDS IN A TIGHT CIRCLE. THE VEHICLE STRUCK SOME TREES ON THE PASSENGER SIDE AND CRASHED INTO ANOTHER VEHICLE THAT WAS PARALLEL PARKED ON THE SAME STREET. THERE WAS NO WARNING INDICATOR ILLUMINATED. A POLICE REPORT WAS FILED. THERE WERE NO INJURIES. THE VEHICLE WAS DAMAGED AND TOWED TO A TOW YARD. THE CONTACT CALLED THE MANUFACTURER AND WAS CONNECTED TO TESLA ROADSIDE ASSISTANCE. THE CONTACT REQUESTED THE DEALER. TESLA (831-264-6896, LOCATED AT 1901 DEL MONTE BLVD, SEASIDE, CA 93955) WAS NOTIFIED, BUT DID NOT ASSIST. THE CONTACT DID NOT KNOW IF THE VEHICLE WAS TOTALED. THE CAUSE OF THE FAILURE WAS NOT DETERMINED. THE FAILURE MILEAGE WAS 4,757"
5YJSA1E23JF****,2018 MODEL S,3-Dec-18,2-Dec-18,"WALNUT, CA",11155579,"CAR WAS STOPPED PRIOR TO ENTERING CAR GARAGE. CAR SUDDENLY REVERSED THEN SPED UP AUTONOMOUSLY AND CRASHED INTO THE HOME. SUSPECT CAR ELECTRONICS COMPROMISED AND ENDANGERED DRIVER. REQUESTING INVESTIGATION IF CAR DEFECT VS USER ERROR. 
 
 THANK YOU !"
5YJSA1E23JF****,2018 MODEL S,18-Jun-18,17-Jun-18,"SAN DIEGO, CA",11102347,"TL* THE CONTACT OWNS A 2018 TESLA MODEL S. WHILE APPROACHING A RED LIGHT, THE SPEED INCREASED AND THE VEHICLE FAILED TO RESPOND WHEN THE BRAKE PEDAL WAS DEPRESSED. THE VEHICLE DROVE THROUGH THE TRAFFIC LIGHT AND CRASHED INTO A VEHICLE THAT WAS MAKING A LEFT TURN. THE FRONT DRIVERS AIR BAG AND KNEE AIR BAGS DEPLOYED. THE FRONT DRIVERS SIDE CURTAIN AIR BAGS HAD NOT DEPLOYED. THE DRIVER SUSTAINED SHOULDER AND BACK INJURIES THAT REQUIRED MEDICAL ATTENTION. A POLICE REPORT WAS FILED. THE INSURANCE COMPANY TOWED THE VEHICLE TO A COLLISION REPAIR FACILITY. THE DEALER (SAN DIEGO MIRAMAR TESLA, 9250 TRADE PL, SAN DIEGO, CA 92121, (858) 271-5100) WAS NOTIFIED OF THE CRASH AND THE CONTACT WAS WAITING FOR FEEDBACK FROM THE INSURANCE COMPANY. THE DEALER AND THE MANUFACTURER WERE WAITING TO RETRIEVE THE INFORMATION FROM THE ELECTRONIC DATA RECORDER TO INVESTIGATE THE CAUSE OF THE FAILURE. THE APPROXIMATE FAILURE MILEAGE WAS 49."
5YJSA1E25JF****,2018 MODEL S,6-Jun-18,20-Apr-18,"BUENA PARK, CA",11100216,"TL* THE CONTACT OWNS A 2018 TESLA MODEL S. WHILE ATTEMPTING TO PARK THE VEHICLE, IT INDEPENDENTLY ACCELERATED AND CRASHED INTO A WALL. THE AIR BAGS DEPLOYED. A POLICE REPORT WAS NOT FILED. THE CONTACT SOUGHT MEDICAL ATTENTION TEN DAYS LATER FOR A STERNAL FRACTURE. THE TESLA BUENA PARK DEALER (6692 AUTO CENTER DR., BUENA PARK, CA 90621, (714) 735-5696) WAS CONTACTED AND THE VEHICLE WAS TOWED TO A TESLA APPROVED FACILITY TO BE DIAGNOSED. THE CONTACT WAS INFORMED THAT THE ON BOARD DIAGNOSTIC TESTING REPORTED THAT THE ACCELERATOR PEDAL WAS DEPRESSED AT THE TIME OF THE CRASH. THE CONTACT WAS ALSO INFORMED THAT THE AUTOMATED FEATURES, INCLUDING THE CRUISE CONTROL WERE UNABLE TO HAVE INDUCED THE ACCELERATED RESPONSE. THE VEHICLE WAS NOT REPAIRED. THE MANUFACTURER WAS ALSO NOTIFIED OF THE FAILURE. THE APPROXIMATE FAILURE MILEAGE WAS 214."
5YJ3E1EA7JF****,2018 MODEL 3,7-May-19,6-May-19,"ATLANTA, GA",11206155,"I TURNED INTO MY DRIVEWAY AND WAS GOING TO PULL INTO MY GARAGE TO PARK THE CAR, WHEN THE CAR ACCELERATED SUDDENLY AND VIOLENTLY AND CRASHED INTO THE FRONT STONE WALL OF OUR HOUSE. THE STONE WALL IS DAMAGED AND THE FRONT RIGHT SIDE OF THE TESLA HAS SIGNIFICANT DAMAGES."
5YJ3E1EA2JF****,2018 MODEL 3,22-May-19,24-Apr-19,"MCLEAN, VA",11209238,"ON APRIL 24 19 MORNING ARTI DOSHI (MY WIFE) DROVE UP MULTILAVEL PARKING LOT AT WORK 8100 JONES BRANCH DRIVE, SHE INITIALLY CHOSE A HEAD IN PARKING SPOT, THEN ATTEMPTED TO MOVE THE CAR FORWARD TO THE NEXT AISLE, SO THE CAR WOULD BE FACING FRONT WHEN SHE GOT OUT. THE CAR PICKED UP UNCONTROLLABLE AND EXTREMELY HIGH SPEED AND SHE FELT OUT OF CONTROL AND COULD NOT MOVE FOOT FROM ACCELERATOR TO BRAKE IN THE SPLIT SECOND, ALL SHE COULD DO WAS TO STEER SLIGHTLY TO HIT A POLE AT THAT NEXT SPOT, AND AVOID GOING ACROSS DRIVE LANE AND OVER THE BARRICADE TO A DROP. THE CAR SUFFERED SEVERE FRONT DAMAGE AND AIRBAGS OPENED, SHE HAD MINOR BRUISE. REPAIR ESTIMATES CAUSED INSURANCE COMPANY TO CALL IT A TOTAL LOSS.
 
 1. TESLA CLAIMS TO BE REVIEWING ELECTRONIC DATA BUT HAS NOT RELEASED CONCLUSIONS SO FAR.
 
 2. WHY SUCH HIGH SPEED WAS PICKED UP WHEN ALL SHE WANTED TO DO WAS CRAWL OVER TO THE NEXT SPOT DIRECTLY AHEAD (ABOUT 20 FEET) FROM THE PREVIOUS SPOT.
 
 3. WHY VARIOUS ELECTRONIC SYSTEM, FRONT COLLISION WARNING, FRONT COLLISION AVOIDANCE, VIDEO SENSORS ABOUT OBSTRUCTIONS, AVOIDANCE BASED ACCELERATION CONTROL ETC, FAILED TO APPLY ANY SPEED REDUCTIONS.
 
 PHOTOS OF EVENT, ESTIMATE FROM INSURANCE ARE ENCLOSED.
 
 I REQUEST YOUR KIND ATTENTION, AND YOUR ANALYSIS AS TO THE SAFETY FAILURES."
5YJ3E1EA6JF****,2018 MODEL 3,16-Apr-19,30-Mar-19,"SNELLVILLE, GA",11196764,VEHICLE ENTERED A SHOPPING PLAZA AT SPEED UNDER 10MPH AND SUDDENLY ACCELERATED TO HIGH SPEED ON IT'S OWN. IT HIT THREE STATIONARY VEHICLES AND KNOCKED DOWN A SMALL TREE. TRIED STOPPING THE CAR BUT THE BRAKES WOULD NOT WORK AND THE CAR FINALLY STOPPED AFTER HITTING THE THIRD VEHICLE.
